,COUNTRY,TOTAL_VACCINATIONS
0,Afghanistan,2367948.0
1,Albania,1665590.0
2,Algeria,9989662.0
3,American Samoa,58228.0
4,Andorra,93430.0
5,Angola,2820134.0
6,Anguilla,18565.0
7,Antigua and Barbuda,81298.0
8,Argentina,43696315.0
9,Armenia,366779.0
10,Aruba,153671.0
11,Australia,22669372.0
12,Austria,10750025.0
13,Azerbaijan,8043423.0
14,Bahamas,173130.0
15,Bahrain,2543817.0
16,Bangladesh,38430617.0
17,Barbados,219970.0
18,Belarus,3206505.0
19,Belgium,16500122.0
20,Belize,270742.0
21,Benin,214396.0
22,Bermuda,86194.0
23,Bhutan,1068414.0
24,Bolivia (Plurinational State of),6363625.0
25,Bonaire,29255.0
26,"Bonaire, Sint Eustatius and Saba",7391.0
27,Bosnia and Herzegovina,1060145.0
28,Botswana,379684.0
29,Brazil,207860768.0
30,British Virgin Islands,31704.0
31,Brunei Darussalam,370287.0
32,Bulgaria,2481276.0
33,Burkina Faso,254545.0
34,Cabo Verde,402075.0
35,Cambodia,20554497.0
36,Cameroon,459397.0
37,Canada,54807381.0
38,Cayman Islands,104609.0
39,Central African Republic,185678.0
40,Chad,123052.0
41,Chile,30673101.0
42,China,2143864359.0
43,Colombia,38002826.0
44,Comoros,336863.0
45,Congo,216014.0
46,Cook Islands,21761.0
47,Costa Rica,4872085.0
48,Côte d’Ivoire,1758966.0
49,Croatia,3380570.0
50,Cuba,17208732.0
51,Curaçao,185136.0
52,Cyprus,1141805.0
53,Czechia,11737482.0
54,Democratic Republic of the Congo,134860.0
55,Denmark,8744427.0
56,Djibouti,66010.0
57,Dominica,43971.0
58,Dominican Republic,11585713.0
59,Ecuador,20320001.0
60,Egypt,12964351.0
61,El Salvador,7013347.0
62,Equatorial Guinea,381835.0
63,Estonia,1342009.0
64,Eswatini,239551.0
65,Ethiopia,3281470.0
66,Falkland Islands (Malvinas),4407.0
67,Faroe Islands,73404.0
68,Fiji,907249.0
69,Finland,7410452.0
70,France,92262410.0
71,French Guiana,139674.0
72,French Polynesia,235567.0
73,Gabon,177392.0
74,Gambia,198322.0
75,Georgia,1686412.0
76,Germany,106070782.0
77,Ghana,1623582.0
78,Gibraltar,79335.0
79,Greece,11934359.0
80,Greenland,76879.0
81,Grenada,51610.0
82,Guadeloupe,201607.0
83,Guam,220574.0
84,Guatemala,5862778.0
